Group_1,Gal_1,log(M_stellar),ra_1,dec_1,zmemb
2,1,9.473105776138336,0.3129815262621921,13.11314170389291,0.018646
15,1,8.95762884185231,9.46964856140158,-25.06268643212763,0.066176
20,3,7.772830640581066,13.04660065707238,-1.128448197229796,0.104819
26,2,8.99147347381101,16.81804207117206,-32.8427817921172,0.0638
28,3,8.544857011507961,20.27815691689498,-32.0500743178396,0.0722
28,1,9.054485648762977,20.24462727220963,-32.06282642816967,0.0724
36,4,8.427353154395028,26.91354851874674,-30.24911880652262,0.0428
36,2,8.762295276469306,26.8952270149351,-30.26768591844592,0.0425
40,3,9.43640250188178,30.96466705372731,-31.14377393611345,0.0289
43,1,9.390298963389922,36.20420687265285,-27.2753540644782,0.060526
45,1,9.009503332264487,40.44927762952605,-20.79883391234892,0.01016
60,2,8.765853987914195,55.61118847941587,-41.14467798349656,0.004923
74,1,7.9862205089680245,128.6624563525526,15.76384033243654,0.106065
74,3,8.430544515619072,128.6843710942975,15.79049411645369,0.10596
79,1,9.137470795690707,143.0164322817605,16.01371716945271,0.040354
89,4,9.175860806143362,157.034626533431,31.20686057030345,0.044971
90,3,9.4501171871972,160.105463817595,24.22891625645232,0.04348
90,1,7.755469692828418,160.0979346994472,24.218117062578,0.111183
97,2,8.210492452829067,167.5168502117463,-1.004677110111772,0.109852
98,4,8.893872163420314,168.0198611603887,29.40156252050033,0.033857
100,2,9.036072046185147,169.5035696181568,30.54045052288772,0.024726
104,2,9.118780652056506,171.9601366068491,-0.4511256666447173,0.062384
107,3,7.540785302068324,174.1685202200961,21.69989212707423,0.063183
107,2,6.904967514468456,174.1568297133209,21.69064871524099,0.06264
112,2,9.39327756669967,179.0601589568412,25.35415458397431,0.032261
122,4,8.633865356634777,190.3524647842002,18.31344056490991,0.070976
130,1,9.440102490986263,197.4529090712558,30.42953795617289,0.05061
132,4,8.94975323021382,198.2811769270057,12.68375142899898,0.030082
132,2,8.94976602206646,198.2685821305454,12.71326428388539,0.029737
138,4,9.296105086398242,202.0280164716707,31.93186678820862,0.015757
140,2,8.115294786455372,203.3246429798482,11.08851325656476,0.090623
143,2,9.337636975345584,204.8738495829156,4.511382287086172,0.022968
148,4,8.392658350110107,208.8599605956549,6.56629489961704,0.083417
155,2,7.936244906288724,213.2258035175576,23.3377822835228,0.059665
157,3,9.084211791131736,215.5025057406916,28.863960761391,0.029579
157,4,8.406814740420263,215.5173209036256,28.86660178776914,0.0354
160,1,9.0568949840391,219.6912603223076,9.04091980277455,0.030605
168,4,9.056957166393806,228.187522824389,26.58034235816466,0.033404
168,2,8.826453672576426,228.1551079683782,26.57635339860423,0.032967
171,2,9.40619429446414,230.9415084439488,2.67026416322864,0.020865
176,3,9.176339811137433,238.378110723174,20.98374316650619,0.018608
176,1,8.265182184454776,238.3661403755266,20.96810893908589,0.01876
205,1,8.814811813147472,338.2640070806825,-60.9110502359763,0.055939
209,3,9.20871958746044,343.2215152223864,-24.97424294348244,0.0744
210,4,9.074358461030887,343.5708158779337,-18.15614840085374,0.0323
222,3,9.442610295120005,356.097101122869,-26.03414898592299,0.0656
223,3,8.987949496578898,357.5307058824425,-47.1908624101798,0.004003
224,3,9.102828144679474,357.840413582652,20.57396363703894,0.018369
230,1,6.894191416330496,27.46342358877521,-27.82211553235923,0.088744
243,2,8.32482850377416,146.8749693372368,30.38880616977882,0.016952
243,3,8.960217844407609,146.8826141204588,30.39818456029343,0.017184
243,5,8.800923787407951,146.8930822145775,30.41259558598308,0.022343
248,4,8.562661815301336,195.033878757742,33.43766273681645,0.023498
256,1,8.072048048681678,211.8383086842967,12.69505053047726,0.139371
256,5,9.293700252466913,211.8743287276248,12.73514553097298,0.022959
258,4,7.260196034736137,243.3142685638308,8.534118709433525,0.063283
272,1,9.34981624452922,124.9952836513279,21.06622908547324,0.014046
273,5,7.6580199449019055,168.6477687319171,-0.8678292086364374,0.069293
273,1,9.173247684468317,168.6037850872668,-0.8308699168587196,0.027858
